queue_code,seat_no,gender,location,status,queue_order,assigned_at,returned_at,called_at,created_at
F137,137,Female,Female,Archived,10,03:45:36 PM,03:48:00 PM,2026-06-24T07:45:36.29976+00:00,2026-06-24T07:45:28.900639+00:00
M140,140,Male,Male,Archived,9,03:44:17 PM,03:47:00 PM,2026-06-24T07:44:17.342222+00:00,2026-06-24T07:43:39.751308+00:00
M97,97,Male,Male,Archived,8,03:41:53 PM,03:44:08 PM,2026-06-24T07:41:53.835106+00:00,2026-06-24T07:36:50.305061+00:00
M150,150,Male,Male,Archived,7,03:38:46 PM,03:41:50 PM,2026-06-24T07:38:47.029053+00:00,2026-06-24T07:35:44.520705+00:00
M84,84,Male,Male,Archived,6,03:36:19 PM,03:38:37 PM,2026-06-24T07:36:19.246116+00:00,2026-06-24T07:34:08.835471+00:00
F138,138,Female,Female,Archived,6,03:31:31 PM,03:33:40 PM,2026-06-24T07:31:31.757152+00:00,2026-06-24T07:30:43.049853+00:00
M155,155,Male,Male,Archived,5,03:34:03 PM,03:36:16 PM,2026-06-24T07:34:03.817817+00:00,2026-06-24T07:30:25.451161+00:00
M91,91,Male,Male,Archived,4,03:31:51 PM,03:34:01 PM,2026-06-24T07:31:51.421492+00:00,2026-06-24T07:29:47.89748+00:00
M3,3,Male,Male,Archived,3,03:29:34 PM,03:31:48 PM,2026-06-24T07:29:34.731126+00:00,2026-06-24T07:26:16.887605+00:00
M33,33,Male,Male,Archived,2,03:27:12 PM,03:29:31 PM,2026-06-24T07:27:12.332043+00:00,2026-06-24T07:26:03.888387+00:00
M45,45,Male,Male,Archived,1,03:25:21 PM,03:27:10 PM,2026-06-24T07:25:51.419735+00:00,2026-06-24T07:25:14.628132+00:00
M2,2,Male,Male,Archived,18,03:20:47 PM,03:23:35 PM,2026-06-24T07:20:47.966091+00:00,2026-06-24T07:20:08.09179+00:00
F63,63,Female,Female,Archived,17,03:19:36 PM,03:22:38 PM,2026-06-24T07:20:20.449463+00:00,2026-06-24T07:19:26.186387+00:00
M95,95,Male,Male,Archived,16,03:18:58 PM,03:20:44 PM,2026-06-24T07:18:58.562471+00:00,2026-06-24T07:14:54.009675+00:00
M134,134,Male,Male,Archived,15,03:17:14 PM,03:18:56 PM,2026-06-24T07:17:14.25129+00:00,2026-06-24T07:13:28.526452+00:00
M127,127,Male,Male,Archived,14,03:14:38 PM,03:17:11 PM,2026-06-24T07:14:38.3569+00:00,2026-06-24T07:11:45.313521+00:00
F44,44,Female,Female,Archived,13,03:10:42 PM,03:13:08 PM,2026-06-24T07:10:42.932435+00:00,2026-06-24T07:10:39.843428+00:00
M1,1,Male,Male,Archived,12,03:10:27 PM,03:14:35 PM,2026-06-24T07:10:27.243154+00:00,2026-06-24T07:08:19.47828+00:00
M104,104,Male,Male,Archived,11,03:08:13 PM,03:10:25 PM,2026-06-24T07:08:14.021674+00:00,2026-06-24T07:06:38.965385+00:00
F160,160,Female,Female,Archived,10,03:04:59 PM,03:08:07 PM,2026-06-24T07:04:59.652054+00:00,2026-06-24T07:04:08.777694+00:00
M30,30,Male,Male,Archived,9,03:05:57 PM,03:08:11 PM,2026-06-24T07:05:57.339952+00:00,2026-06-24T06:59:47.774231+00:00
M22,22,Male,Handicap,Archived,8,03:03:56 PM,03:05:55 PM,2026-06-24T07:03:56.944913+00:00,2026-06-24T06:58:15.032791+00:00
M109,109,Male,Male,Archived,7,03:03:00 PM,03:05:04 PM,2026-06-24T07:03:00.607124+00:00,2026-06-24T06:56:24.986618+00:00
M144,144,Male,Handicap,Archived,6,03:01:11 PM,03:03:13 PM,2026-06-24T07:01:11.669895+00:00,2026-06-24T06:56:18.145762+00:00
M71,71,Male,Male,Archived,5,03:01:06 PM,03:02:55 PM,2026-06-24T07:01:07.03082+00:00,2026-06-24T06:52:22.716292+00:00
M120,120,Male,Handicap,Archived,4,02:59:03 PM,03:01:01 PM,2026-06-24T06:59:04.027481+00:00,2026-06-24T06:51:34.096817+00:00
M51,51,Male,Male,Archived,3,02:57:49 PM,03:01:04 PM,2026-06-24T06:57:49.641087+00:00,2026-06-24T06:50:47.903016+00:00
M39,39,Male,Handicap,Archived,2,02:55:38 PM,02:58:59 PM,2026-06-24T06:57:17.989821+00:00,2026-06-24T06:44:40.098127+00:00
M112,112,Male,Male,Archived,1,02:55:11 PM,02:57:40 PM,2026-06-24T06:55:12.044182+00:00,2026-06-24T06:24:04.10797+00:00
M999,999,Male,Male,Archived,1,01:34:27 PM,01:34:34 PM,2026-06-24T05:34:27.704618+00:00,2026-06-24T05:28:55.280066+00:00
